"code_i";"name_i";"code_j";"name_j";"Fij"
"BJ10";"OUEME";"BJ08";"LITTORAL";31907
"BJ11";"PLATEAU";"BJ08";"LITTORAL";6879
"BJ12";"ZOU";"BJ08";"LITTORAL";19492
"BJ01";"ALIBORI";"BJ09";"MONO";345
"BJ02";"ATACORA";"BJ09";"MONO";601
"BJ03";"ATLANTIQUE";"BJ09";"MONO";5474
"BJ04";"BORGOU";"BJ09";"MONO";1065
"BJ05";"COLLINES";"BJ09";"MONO";988
"BJ06";"COUFFO";"BJ09";"MONO";9352
"BJ07";"DONGA";"BJ09";"MONO";358
"BJ08";"LITTORAL";"BJ09";"MONO";16627
"BJ09";"MONO";"BJ09";"MONO";425086
"BJ10";"OUEME";"BJ09";"MONO";2610
"BJ11";"PLATEAU";"BJ09";"MONO";681
"BJ12";"ZOU";"BJ09";"MONO";2068
"BJ01";"ALIBORI";"BJ10";"OUEME";1126
"BJ02";"ATACORA";"BJ10";"OUEME";1474
"BJ03";"ATLANTIQUE";"BJ10";"OUEME";11863
"BJ04";"BORGOU";"BJ10";"OUEME";3351
"BJ05";"COLLINES";"BJ10";"OUEME";2813
"BJ06";"COUFFO";"BJ10";"OUEME";3261
"BJ07";"DONGA";"BJ10";"OUEME";2187
"BJ08";"LITTORAL";"BJ10";"OUEME";78088
"BJ09";"MONO";"BJ10";"OUEME";4694
"BJ10";"OUEME";"BJ10";"OUEME";930591
"BJ11";"PLATEAU";"BJ10";"OUEME";15595
"BJ12";"ZOU";"BJ10";"OUEME";7586
"BJ01";"ALIBORI";"BJ11";"PLATEAU";137
"BJ02";"ATACORA";"BJ11";"PLATEAU";455
"BJ03";"ATLANTIQUE";"BJ11";"PLATEAU";1405
"BJ04";"BORGOU";"BJ11";"PLATEAU";433
"BJ05";"COLLINES";"BJ11";"PLATEAU";1206
"BJ06";"COUFFO";"BJ11";"PLATEAU";941
"BJ07";"DONGA";"BJ11";"PLATEAU";265
"BJ08";"LITTORAL";"BJ11";"PLATEAU";4671
"BJ09";"MONO";"BJ11";"PLATEAU";656
"BJ10";"OUEME";"BJ11";"PLATEAU";13344
"BJ11";"PLATEAU";"BJ11";"PLATEAU";578954
"BJ12";"ZOU";"BJ11";"PLATEAU";6235
"BJ01";"ALIBORI";"BJ12";"ZOU";1018
"BJ02";"ATACORA";"BJ12";"ZOU";1428
"BJ03";"ATLANTIQUE";"BJ12";"ZOU";6531
"BJ04";"BORGOU";"BJ12";"ZOU";3851
"BJ05";"COLLINES";"BJ12";"ZOU";11705
"BJ06";"COUFFO";"BJ12";"ZOU";7701
"BJ07";"DONGA";"BJ12";"ZOU";971
"BJ08";"LITTORAL";"BJ12";"ZOU";18653
"BJ09";"MONO";"BJ12";"ZOU";2528
"BJ10";"OUEME";"BJ12";"ZOU";4357
"BJ11";"PLATEAU";"BJ12";"ZOU";3466
"BJ12";"ZOU";"BJ12";"ZOU";768624
