admin2Pcode;admin2_name;admin1Pcode;admin1_name;admin0Pcode;admin0_name;number_of_named_languages;main_language;main_language_share;Aguna;Aja;Akan;Anii;Arabic;Ayizo Gbe;Baatonum;Bambara;Biali;Boko;Boo;Borgu Fulfulde;Bozo;Contimba;Defi Gbe;Dendi;Ditammari;Dyula;Ede Cabe;Ede Idaca;Ede Ije;English;Ewe;Fon;French;Gagamba;Gando;Gen;Gorgal Fulfulde;Gourmanchéma;Gun;Hausa;Ifè;Igbo;Kabiye;Kotafon Gbe;Kotokoli;Lekpa;Lingala;Maxi Gbe;Mbelime;Mioybe;Mobaa;Mokole;Mossi;Nateni;Northern Nago;Partago;Saxwe Gbe;Senufo;Seto Gbe;Songhay;Soninke;Southern Nago;Taneka;Tem;Tofin Gbe;Toli Gbe;Waama;Waci Gbe;Weme Gbe;Western Xwla Gbe;Wolof;Xwela Gbe;Yoabu;Yom;Yoruba;Zarma;Other;pop_total;pop_male;pop_female;literacy_all;literacy_male;literacy_female;language_data_yn;data_confidence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0205;Materi;BJ02;Atacora;BJ;Benin;16;Biali;0;855;0;0;1;0;0;0;0;0;0;0;855;0;0;0;52;0;0;17;0;0;0;3;0;0;0;0;0;0;1;0;2;0;1;0;3;0;0;0;0;52;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;3;116;7;56;48;59;59;0;429;0;552;0;316;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0206;Ndali;BJ02;Borgou;BJ;Benin;28;Baatonum;0;537;0;0;3;0;0;0;0;0;537;0;0;27;0;0;0;259;0;0;0;1;0;7;0;41;0;0;0;6;0;0;0;0;17;0;1;0;0;4;0;1;0;0;1;0;2;0;4;0;1;0;0;2;0;0;0;8;0;0;1;0;4;0;5;0;0;0;0;9;0;0;0;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;1;0;22;0;4;0;13;0;2;114;87;57;6;57;27;0;419;0;478;0;359;Yes;High;;;;;;;;;;;;;;;
BJ0207;Penhunco;BJ02;Atacora;BJ;Benin;23;Baatonum;0;625;0;0;1;0;0;0;0;0;625;0;0;2;0;0;0;291;0;0;0;0;8;0;5;0;0;0;0;0;0;3;0;4;0;1;0;0;9;0;0;1;0;8;0;0;1;0;0;0;4;0;0;0;3;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;8;0;12;0;2;81;63;41;28;40;35;0;342;0;399;0;286;Yes;High;;;;;;;;;;;;;;;;;;;;
BJ0208;Taqnguiete;BJ02;Atacora;BJ;Benin;27;Waama;0;278;0;0;1;0;0;0;0;0;6;0;0;146;0;0;0;49;0;0;56;0;0;39;0;37;0;0;0;0;0;1;0;2;0;8;0;6;0;9;0;0;1;0;1;0;55;0;2;0;11;0;0;0;0;0;0;1;0;0;2;0;2;0;1;0;0;0;1;0;246;0;0;0;0;0;0;0;0;2;0;0;0;0;0;278;0;0;0;0;0;0;0;0;6;0;11;0;3;76;48;37;39;48;0;39;0;478;0;309;Yes;High;;;;;;;;;;;;;;;;;
BJ0209;Toucountouna;BJ02;Atacora;BJ;Benin;15;Waama;0;667;0;0;1;0;0;0;0;0;0;0;6;0;0;0;68;0;0;0;0;0;8;0;0;0;0;0;0;1;0;4;0;3;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;159;0;0;0;0;0;0;0;0;3;0;0;0;0;0;667;0;0;0;0;0;0;0;0;0;1;0;2;39;49;19;26;20;23;0;354;0;427;0;285;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0301;Abomey-Calavi;BJ03;Atlantique;BJ;Benin;35;Fon;0;565;0;0;51;0;0;1;0;0;144;0;6;0;0;1;0;0;0;1;0;0;0;0;9;0;1;0;0;2;0;14;0;0;1;0;1;0;565;0;24;0;0;0;43;0;1;0;0;26;0;2;0;0;0;1;0;9;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;21;0;0;2;0;3;0;1;0;1;0;3;0;1;0;6;0;0;8;0;0;1;0;1;0;1;0;6;667;38;329;74;337;64;0;778;0;871;0;689;Yes;High;;;;;;;;
BJ0302;Allada;BJ03;Atlantique;BJ;Benin;16;Ayizo Gbe;0;598;0;0;9;0;0;0;0;598;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;344;0;4;0;0;0;4;0;0;0;5;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;3;127;33;62;5;65;28;0;556;0;676;0;445;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0303;Kpomasse;BJ03;Atlantique;BJ;Benin;17;Fon;0;294;0;0;25;0;0;0;0;12;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;294;0;0;0;0;15;0;0;0;4;0;2;0;0;0;0;44;0;0;0;0;2;0;0;0;0;0;0;0;0;0;238;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;5;0;0;236;0;0;0;1;0;0;2;70;5;34;37;35;68;0;567;0;697;0;443;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0304;Ouidah;BJ03;Atlantique;BJ;Benin;26;Fon;0;712;0;0;52;0;1;0;0;0;1;0;1;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;2;0;0;2;0;1;0;712;0;7;0;0;0;61;0;1;0;0;13;0;3;0;0;0;0;6;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;5;0;0;0;0;9;0;0;6;0;0;25;0;0;36;0;0;0;8;0;2;0;5;165;17;81;3;84;14;0;72;0;829;0;618;Yes;High;;;;;;;;;;;;;;;;;
BJ0305;So-Ava;BJ03;Atlantique;BJ;Benin;5;Tofin Gbe;0;847;0;0;0;0;0;0;145;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;847;0;0;0;0;0;0;0;0;0;0;0;0;2;117;56;60;57;56;0;362;0;449;0;272;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
